Why or why weren't you able to play the game with your children?,Me directly,My husband
I didn't understand,0.25806451612903225,0.2916666666666667
Didn't receive message with games,0.12903225806451613,0.20833333333333334
"Yes, its important",0.12903225806451613,0.20833333333333334
My husband didn't tell me,0.06451612903225806,0.16666666666666666
No time,0.16129032258064516,
No children,0.06451612903225806,0.08333333333333333
Played other games,0.12903225806451613,
I was not well,0.03225806451612903,0.041666666666666664
I deleted messages,0.03225806451612903,
