6. What kind of mobile phones do you use?,Caregiver,Teacher,Young adult
Itel,0.47674418604651164,0.21818181818181817,0.5246913580246914
Tecno,0.313953488372093,0.6181818181818182,0.3148148148148148
Vodafone,0.03488372093023256,0.01818181818181818,0.04938271604938271
Nokia,0.03488372093023256,,0.043209876543209874
Samsung,0.06976744186046512,0.07272727272727272,
Other,0.023255813953488372,0.01818181818181818,0.024691358024691357
Huawei,0.023255813953488372,0.03636363636363636,0.012345679012345678
Halotel,0.011627906976744186,0.01818181818181818,0.006172839506172839
Lumitel,,,0.018518518518518517
Motorola,0.011627906976744186,,0.006172839506172839
