6. What kind of mobile phones do you use?,"< TZS 1,000",TZS 0,"TZS 1,000 - 5,000","TZS 5,000 >"
Itel,0.6159420289855072,1.0,0.352112676056338,0.1111111111111111
Tecno,0.2391304347826087,,0.4788732394366197,0.5
Vodafone,0.028985507246376812,,0.035211267605633804,0.16666666666666666
Nokia,0.036231884057971016,,0.035211267605633804,
Samsung,0.014492753623188406,,0.028169014084507043,0.16666666666666666
Other,0.014492753623188406,,0.028169014084507043,0.05555555555555555
Huawei,0.007246376811594203,,0.028169014084507043,
Halotel,0.014492753623188406,,0.007042253521126761,
Lumitel,0.014492753623188406,,0.007042253521126761,
Motorola,0.014492753623188406,,,
