7. What do you use the phone for?,Caregiver,Teacher,Young adult
I make calls,0.18834080717488788,0.13709677419354838,0.19578686493184635
I send text messages,0.18385650224215247,0.1478494623655914,0.19083023543990088
I receive text messages,0.17713004484304934,0.1424731182795699,0.18587360594795538
I listen to music,0.11883408071748879,0.10752688172043011,0.14993804213135067
I use Facebook,0.10089686098654709,0.11290322580645161,0.09045848822800495
I use WhatsApp,0.07174887892376682,0.11021505376344086,0.05452292441140025
I use the internet,0.03587443946188341,0.08602150537634409,0.048327137546468404
I use Google,0.042600896860986545,0.056451612903225805,0.01982651796778191
I play games,0.042600896860986545,0.043010752688172046,0.021065675340768277
I listen to the radio,0.02914798206278027,0.043010752688172046,0.024783147459727387
Messenger,0.008968609865470852,0.005376344086021506,0.011152416356877323
Imo,,0.005376344086021506,0.006195786864931847
Usagiri,,,0.0012391573729863693
Viber,,0.002688172043010753,
