7. What do you use the phone for?,Female,Male
I make calls,0.2035225048923679,0.17032967032967034
I send text messages,0.2035225048923679,0.1684981684981685
I receive text messages,0.19960861056751467,0.1620879120879121
I listen to music,0.13307240704500978,0.13278388278388278
I use Facebook,0.07632093933463796,0.10805860805860806
I use WhatsApp,0.06653620352250489,0.07326007326007326
I use the internet,0.04892367906066536,0.054945054945054944
I use Google,0.0273972602739726,0.03663003663003663
I play games,0.01761252446183953,0.038461538461538464
I listen to the radio,0.019569471624266144,0.03571428571428571
Messenger,0.003913894324853229,0.01098901098901099
Imo,,0.00641025641025641
Usagiri,,0.0009157509157509158
Viber,,0.0009157509157509158
