7. What do you use the phone for?,A few times a day,More than 10 times a day,Once a day,Once a week,Once every few days
I make calls,0.23809523809523808,0.1694747274529237,0.1597222222222222,0.5,0.3333333333333333
I send text messages,0.23129251700680273,0.17244796828543113,0.14930555555555555,0.5,0.3333333333333333
I receive text messages,0.21768707482993196,0.17145688800792863,0.1388888888888889,,0.3333333333333333
I listen to music,0.12585034013605442,0.14073339940535184,0.11458333333333333,,
I use Facebook,0.07142857142857142,0.0981169474727453,0.125,,
I use WhatsApp,0.034013605442176874,0.08622398414271557,0.059027777777777776,,
I use the internet,0.030612244897959183,0.06045589692765114,0.052083333333333336,,
I use Google,0.013605442176870748,0.030723488602576808,0.06597222222222222,,
I play games,0.013605442176870748,0.023785926660059464,0.0763888888888889,,
I listen to the radio,0.013605442176870748,0.030723488602576808,0.04513888888888889,,
Messenger,0.006802721088435374,0.007928642220019821,0.013888888888888888,,
Imo,0.003401360544217687,0.005946481665014866,,,
Usagiri,,0.0009910802775024777,,,
Viber,,0.0009910802775024777,,,
